,sub,obj,explanation,relation
1409,tables,wood,the tables are made of wood.,Material-MadeOf
1410,tablet,computer,a tablet is a small type of computer.,Category-Exemplar
1411,tactful,considerate,tactful is defined as the considerate,Synonym
1412,teacher,classroom,a teacher works in a classroom.,Location
1413,teacher,school,a teacher is a part of a school.,PartOf
1414,telephone,communicate,a telephone is a device used to communicate.,Function
1415,telephone,communicate,people often communicate over the telephone.,Function
1416,terrific,fantastic,fantastic is a synonym for terrific.,Synonym
1417,thief,burglar,thief has a similar meaning as burglar.,Synonym
1418,thief,robber,thief has a similar meaning as robber.,Synonym
1419,throat,body,the human throat is a part of the human body,PartOf
1420,ticket,game,when you want to go to a game you need to buy a ticket,Has-Prerequisite
1421,ticket,license,ticket has a similar meaning as license.,Synonym
1422,ticket,pass,ticket has a similar meaning as pass.,Synonym
1423,tired,exhausted ,exhausted is an extreme form of being tired.,Category-Exemplar
1424,title,name ,"a title can be part of someone's name, like duke or duchess.",PartOf
1425,total,all,total is a synonym for all.,Synonym
1426,totally,certainly,totally is another word for certainly.,Synonym
1427,totally,completely,i think of totally as being 100% which is very similar to completely and they are both adverbs.,Synonym
1428,totally,definitely,totally is another word for definitely.,Synonym
1429,tournament,championship,tournament has a similar meaning as championship.,Synonym
1430,tournament,contest,tournament has a similar meaning as contest.,Synonym
1431,trash,dump,the trash is taken to the dump.,Location
1432,trash,dump,trash is found at dumps.,Location
1433,trial,jury,a jury is typically part of a trial.,PartOf
1434,trial,case,trial has a similar meaning as case.,Synonym
1435,trial,suit,trial has a similar meaning as suit.,Synonym
1436,trousers,clothing,trousers are a piece o clothing.,Category-Exemplar
1437,trousers,pants,"his pants, or trousers, were made of corduroy.",Synonym
1438,trousers,pants,"pants are american and trousers are british, but they are the same thing",Synonym
1439,trousers,pants,pants can be used in place of trousers.,Synonym
1440,trousers,pants,"some people call trousers, pants.",Synonym
1441,trousers,short,his trousers were too short to wear.,HasProperty
1442,truck,big,the truck is so big it couldn't go through the gate.,HasProperty
1443,truck,cargo,the truck carried the cargo for a long distance,Function
1444,truck,long,the truck was so long.,HasProperty
1445,truck,transport,they use truck to transport goods that are perishable,Function
1446,truck,vehicle,truck is a big type of vehicle,Category-Exemplar
1447,truck,pickup,a pickup is a type of truck.,Category-Exemplar
1448,truly,really,truly is a synonym for really.,Synonym
1449,trust,guardianship ,guardianship is one of the most strict forms of trust.,Category-Exemplar
1450,trust,confidence,trust has a similar meaning as confidence.,Synonym
1451,trust,faith,trust has a similar meaning as faith.,Synonym
1452,truth,lie,lie is the opposite of truth.,Antonym
1453,truth,accurate,telling the truth is synonyms to saying what is accurate,Synonym
1454,truth,correct,telling the truth is synonyms to telling what is correct,Synonym
1455,twist,dance,the twist is a type of dance.,Category-Exemplar
1456,ultra,super,ultra is another word for super.,Synonym
1457,unalike,dissimilar,unalike another word dissimilar is same meaning,Synonym
1458,unalike,alike,unalike and alike is opposite meaning words,Antonym
1459,uncivilized,behavior,to be uncivilized is to exhibit a type of antisocial behavior.,Category-Exemplar
1460,uncle,family,an uncle is a member of your family.,PartOf
1461,uncle,family,an uncle is part of a family.,PartOf
1462,undercover,sting,the cop went undercover as part of a drug bust sting operation.,PartOf
1463,undertaken,done,in order to get the job done some action needs to be undertaken.,Has-Prerequisite
1464,upset,distressed,upset has a similar meaning as distressed.,Synonym
1465,upset,disturbed,upset has a similar meaning as disturbed.,Synonym
1466,upstream,flow,upstream is in the direction opposite to the flow of a stream.,Antonym
1467,uptown,buildings,the uptown part of our city has a lot of buildings.,PartOf
1468,uptown,cafes,the uptown part of my city has many cafes.,PartOf
1469,usually,mostly,usually is another word for mostly.,Synonym
1470,usually,often,often is a synonym of usually,Synonym
1471,usually,typically,usually is a synonym for typically.,Synonym
1472,utility,electric,electric bills are part of the utilities.,PartOf
1473,utilize,customize,utilize is also defined as the customize,Synonym
1474,utilize,employ,utilize has a similar meaning as employ.,Synonym
1475,utilize,use,use is the synonym of the utilize,Synonym
1476,utilize,use,utilize has a similar meaning as use.,Synonym
1477,variable,equation,a variable is part of an equation.,PartOf
1478,variable,changeable,variable is another word for changeable.,Synonym
1479,vegetation,plants,vegetation includes many types of plants.,Category-Exemplar
1480,visit,arrive,visit is the synonym of the arrive.,Synonym
1481,voice,loud,the voice from the man was too loud.,HasProperty
1482,voluntary,optional,voluntary is the synonym of the optional,Synonym
1483,voluntary,serviceman,voluntary is a synonym of serviceman,Synonym
1484,voodoo,magic,voodoo is a form of magic.,Category-Exemplar
1485,voodoo,spiritual,voodoo is a form of spirituality more than a religion.,Category-Exemplar
1486,wallet,pocket,most men keep a wallet in their pocket.,Location
1487,wallet,pocket,most men keep their wallet in their back pocket.,Location
1488,wallet,pocket,the best place to keep your wallet is in your pocket so it doesn't get lost.,Location
1489,warning,alarm,an alarm going off is a type of warning.,Category-Exemplar
1490,warning,caution,the caution sign is a form of warning to the workers.,Category-Exemplar
1491,weight,science,weight is the important part of the science,PartOf
1492,weight,load,load is also defined as the weight,Synonym
1493,wheel,round,the wheel was out of round.,HasProperty
1494,wheel,circular,a wheel is some kind of circular device that rotates.,HasProperty
1495,whereby,how,i think how could be a synonym for whereby. you could swap the two words in a sentence.,Synonym
1496,worse,good,the opposite end of the spectrum from worse is good.,Antonym
1497,wounds,cut,a large cut is a type of wound.,Category-Exemplar
1498,writer,job,a writer is a type of job.,Category-Exemplar
1499,yelling,screaming,yelling is a synonym for screaming.,Synonym
1500,yesterday,tomorrow,yesterday is the opposite of tomorrow.,Antonym
1501,young,old,both young and old are invited.,Antonym
1502,young,old,everyone is invited- from young to old.,Antonym
1503,young,old,the opposite of being young is being old.,Antonym
1504,adore,love,to adore a person is to love a person,Synonym
1505,adore,love,to adore something is to love it.,Synonym
1506,adore,love,"when you love something, you also adore it.",Synonym
1507,advantage,benefit,take advantage definitely get benefit,Result-In
1508,advantage,benefit,"when you have an advantage, you have more benefits than others.",Result-In
1509,bedroom,bed,bedrooms have a bed for you to sleep in.,Location
1510,bedroom,closet,he took his shirt from the closet in the bedroom,Location
1511,bedroom,dresser,you will usually find a dresser in a bedroom.,Location
1512,bicycle,wheels,a bicycle has two wheels.,PartOf
1513,bicycle,wheels,bicycles usually have more than one wheel to operate,PartOf
1514,blender,blades,a blender has blades to help chop up things and mix them.,PartOf
1515,blender,blades,a blender usually has 4 moderately sharp blades,PartOf
1516,bullet,wound,a bullet creates a wound if it hits an animal or a person.,Result-In
1517,bullet,painful,getting shot with a bullet was painful.,Result-In
1518,camera,capture,the camera was able to capture the vibrant colors of her dress.,Action
1519,camera,lens,a camera has different parts including a lens.,PartOf
1520,champagne,drunk,the champagne made the man drunk.,Result-In
1521,clock,hands,a clock has hands that show the hour and minute.,PartOf
1522,clock,hands,the clock has three hands.,PartOf
1523,football,sport,football is a sporting event.,Category-Exemplar
1524,glass,window,i think of glass as typically being used for a window such as a glass window.,Function
1525,goose,beak,a goose usually has an orange beak.,PartOf
1526,goose,fly,the goose needed to fly south for the winter.,Action
1527,horse,gallop,the horse galloped beside the river.,Action
1528,horse,gallop,the horse gallops in the field.,Action
1529,jacket,winter,the man wore a winter jacket to stay warm,Common-Phrase
1530,jacket,winter,we should get some winter jacket at the store.,Common-Phrase
1531,piano,keys,a grand piano is made up of eighty-eight keys.,PartOf
1532,piano,keys,a piano has a lot of keys.,PartOf
1533,piano,keys,piano has black and white keys,PartOf
1534,piano,music,i hear piano music in the evening.,Common-Phrase
1535,piano,music,i like to hear piano music.,Common-Phrase
1536,platypus,bill,a platypus is an animal that has a bill,PartOf
1537,platypus,bill,the platypus has a big bill.,PartOf
1538,platypus,swim,i saw a platypus swim in the water.,Action
1539,poison,deadly,poison can be deadly for humans.,Result-In
1540,poison,kill,the poison can kill the lion.,Action
1541,poison,kill,"to kill a rat, poison something for it to eat.",Result-In
1542,rabbit,hop,rabbits hop along everywhere they go.,Action
1543,rabbit,hop,rabbits hop around the yard.,Action
1544,shark,fins,one of the defining characteristics of sharks are their fins like in the movie jaws,PartOf
1545,skunk,spray,skunks spray people or animals that they perceive as a threat.,Action
1546,skunk,spray,skunks spray people to protect themselves,Action
1547,skunk,stink,the skunk will stink up the place if it feels threatened.,Action
1548,stick,branch,sticks are made out of branches.,PartOf
1549,stick,wood,sticks are made out of wood.,Material-MadeOf
1550,stone,throw,i like to throw stones at a river.,Action
1551,stone,rock,stone and rock are synonyms.,Synonym
1552,syringe,hospital,there was a bloody syringe on the hospital floor.,Location
1553,table,legs,most tables have legs to keep them up,PartOf
1554,table,plate,he put the plate on the dinner table.,Location
1555,table,plate,tables always have plates on them.,Location
1556,telephone,cord,the telephone cord was very long,Common-Phrase
1557,trousers,belt,the belt held up the trousers.,Function
1558,trousers,jeans,trousers also come in the form of jeans,Material-MadeOf
1559,wallet,leather,a high quality wallet used to be made from italian leather.,Material-MadeOf
