,cue,association,explanation,relation,source
14446,voluntary,adjective,voluntary is the synonym of the adjective,synonym,fillin
14447,voluntary,second,voluntary is the synonym of the second,synonym,fillin
14448,voluntary,word,voluntary is the synonym of the word,synonym,fillin
14449,voluntary,verb,voluntary is the synonym of the verb,synonym,fillin
14450,voodoo,religion,voodoo is a form of religion.,category-exemplar-pairs,fillin
14451,voodoo,christianity,voodoo is a form of christianity.,category-exemplar-pairs,fillin
14452,voodoo,witchcraft,voodoo is a form of witchcraft.,category-exemplar-pairs,fillin
14453,voodoo,islam,voodoo is a form of islam.,category-exemplar-pairs,fillin
14454,voodoo,magic,voodoo is a form of magic.,category-exemplar-pairs,fillin
14455,voodoo,slavery,voodoo is a form of slavery.,category-exemplar-pairs,fillin
14456,voodoo,medicine,voodoo is a form of medicine.,category-exemplar-pairs,fillin
14457,voodoo,music,voodoo is a form of music.,category-exemplar-pairs,fillin
14458,voodoo,evil,voodoo is a form of evil.,category-exemplar-pairs,fillin
14459,voodoo,witchcraft,voodoo is a form of witchcraft,category-exemplar-pairs,fillin
14460,voodoo,religion,voodoo is a form of religion,category-exemplar-pairs,fillin
14461,voodoo,magic,voodoo is a form of magic,category-exemplar-pairs,fillin
14462,voodoo,christianity,voodoo is a form of christianity,category-exemplar-pairs,fillin
14463,voodoo,satan,voodoo is a form of satan,category-exemplar-pairs,fillin
14464,voodoo,buddhism,voodoo is a form of buddhism,category-exemplar-pairs,fillin
14465,voodoo,islam,voodoo is a form of islam,category-exemplar-pairs,fillin
14466,voodoo,evil,voodoo is a form of evil,category-exemplar-pairs,fillin
14467,voodoo,ritual,voodoo is a form of ritual,category-exemplar-pairs,fillin
14468,voodoo,magic,voodoo is a form of magic more than a religion.,category-exemplar-pairs,fillin
14469,voodoo,medicine,voodoo is a form of medicine more than a religion.,category-exemplar-pairs,fillin
14470,voodoo,art,voodoo is a form of art more than a religion.,category-exemplar-pairs,fillin
14471,voodoo,music,voodoo is a form of music more than a religion.,category-exemplar-pairs,fillin
14472,voodoo,entertainment,voodoo is a form of entertainment more than a religion.,category-exemplar-pairs,fillin
14473,voodoo,science,voodoo is a form of science more than a religion.,category-exemplar-pairs,fillin
14474,voodoo,politics,voodoo is a form of politics more than a religion.,category-exemplar-pairs,fillin
14475,voodoo,life,voodoo is a form of life more than a religion.,category-exemplar-pairs,fillin
14476,voodoo,warfare,voodoo is a form of warfare more than a religion.,category-exemplar-pairs,fillin
14477,voodoo,magic,voodoo is a form of magic more than a religion,category-exemplar-pairs,fillin
14478,voodoo,medicine,voodoo is a form of medicine more than a religion,category-exemplar-pairs,fillin
14479,voodoo,science,voodoo is a form of science more than a religion,category-exemplar-pairs,fillin
14480,voodoo,art,voodoo is a form of art more than a religion,category-exemplar-pairs,fillin
14481,voodoo,music,voodoo is a form of music more than a religion,category-exemplar-pairs,fillin
14482,voodoo,politics,voodoo is a form of politics more than a religion,category-exemplar-pairs,fillin
14483,voodoo,philosophy,voodoo is a form of philosophy more than a religion,category-exemplar-pairs,fillin
14484,voodoo,christianity,voodoo is a form of christianity more than a religion,category-exemplar-pairs,fillin
14485,voodoo,spirituality,voodoo is a form of spirituality more than a religion,category-exemplar-pairs,fillin
14486,wallet,pockets,most men keep their wallet in their back pockets.,location,fillin
14487,wallet,pocket,most men keep their wallet in their back pocket.,location,fillin
14488,wallet,waistband,most men keep their wallet in their back waistband.,location,fillin
14489,wallet,packs,most men keep their wallet in their back packs.,location,fillin
14490,wallet,pack,most men keep their wallet in their back pack.,location,fillin
14491,wallet,pouch,most men keep their wallet in their back pouch.,location,fillin
14492,wallet,jeans,most men keep their wallet in their back jeans.,location,fillin
14493,wallet,pants,most men keep their wallet in their back pants.,location,fillin
14494,wallet,drawers,most men keep their wallet in their back drawers.,location,fillin
14495,wallet,pocket,most men keep their wallet in their back pocket,location,fillin
14496,wallet,pockets,most men keep their wallet in their back pockets,location,fillin
14497,wallet,waistband,most men keep their wallet in their back waistband,location,fillin
14498,wallet,pouch,most men keep their wallet in their back pouch,location,fillin
14499,wallet,pack,most men keep their wallet in their back pack,location,fillin
14500,wallet,jeans,most men keep their wallet in their back jeans,location,fillin
14501,wallet,pants,most men keep their wallet in their back pants,location,fillin
14502,wallet,drawers,most men keep their wallet in their back drawers,location,fillin
14503,wallet,bag,most men keep their wallet in their back bag,location,fillin
14504,wallet,pocket,the best place to keep your wallet is in your pocket so it doesn't get lost.,location,fillin
14505,wallet,purse,the best place to keep your wallet is in your purse so it doesn't get lost.,location,fillin
14506,wallet,bag,the best place to keep your wallet is in your bag so it doesn't get lost.,location,fillin
14507,wallet,backpack,the best place to keep your wallet is in your backpack so it doesn't get lost.,location,fillin
14508,wallet,room,the best place to keep your wallet is in your room so it doesn't get lost.,location,fillin
14509,wallet,jacket,the best place to keep your wallet is in your jacket so it doesn't get lost.,location,fillin
14510,wallet,car,the best place to keep your wallet is in your car so it doesn't get lost.,location,fillin
14511,wallet,pockets,the best place to keep your wallet is in your pockets so it doesn't get lost.,location,fillin
14512,wallet,bedroom,the best place to keep your wallet is in your bedroom so it doesn't get lost.,location,fillin
14513,wallet,pocket,the best place to keep your wallet is in your pocket so it doesn't get lost,location,fillin
14514,wallet,purse,the best place to keep your wallet is in your purse so it doesn't get lost,location,fillin
14515,wallet,room,the best place to keep your wallet is in your room so it doesn't get lost,location,fillin
14516,wallet,car,the best place to keep your wallet is in your car so it doesn't get lost,location,fillin
14517,wallet,bag,the best place to keep your wallet is in your bag so it doesn't get lost,location,fillin
14518,wallet,backpack,the best place to keep your wallet is in your backpack so it doesn't get lost,location,fillin
14519,wallet,locker,the best place to keep your wallet is in your locker so it doesn't get lost,location,fillin
14520,wallet,office,the best place to keep your wallet is in your office so it doesn't get lost,location,fillin
14521,wallet,bedroom,the best place to keep your wallet is in your bedroom so it doesn't get lost,location,fillin
14522,warning,alarm,an alarm going off is a type of warning.,category-exemplar-pairs,fillin
14523,warning,alert,an alert going off is a type of warning.,category-exemplar-pairs,fillin
14524,warning,alarms,an alarms going off is a type of warning.,category-exemplar-pairs,fillin
14525,warning,explosive,an explosive going off is a type of warning.,category-exemplar-pairs,fillin
14526,warning,indicator,an indicator going off is a type of warning.,category-exemplar-pairs,fillin
14527,warning,announcement,an announcement going off is a type of warning.,category-exemplar-pairs,fillin
14528,warning,engine,an engine going off is a type of warning.,category-exemplar-pairs,fillin
14529,warning,indication,an indication going off is a type of warning.,category-exemplar-pairs,fillin
14530,warning,explosion,an explosion going off is a type of warning.,category-exemplar-pairs,fillin
14531,warning,automatic,an automatic going off is a type of warning.,category-exemplar-pairs,fillin
14532,warning,alarm,an alarm going off is a type of warning,category-exemplar-pairs,fillin
14533,warning,alert,an alert going off is a type of warning,category-exemplar-pairs,fillin
14534,warning,alarms,an alarms going off is a type of warning,category-exemplar-pairs,fillin
14535,warning,explosion,an explosion going off is a type of warning,category-exemplar-pairs,fillin
14536,warning,announcement,an announcement going off is a type of warning,category-exemplar-pairs,fillin
14537,warning,indication,an indication going off is a type of warning,category-exemplar-pairs,fillin
14538,warning,engine,an engine going off is a type of warning,category-exemplar-pairs,fillin
14539,warning,indicator,an indicator going off is a type of warning,category-exemplar-pairs,fillin
14540,warning,explosive,an explosive going off is a type of warning,category-exemplar-pairs,fillin
14541,warning,object,an object going off is a type of warning,category-exemplar-pairs,fillin
14542,warning,stop,the stop sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14543,warning,danger,the danger sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14544,warning,red,the red sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14545,warning,picket,the picket sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14546,warning,caution,the caution sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14547,warning,safety,the safety sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14548,warning,alarm,the alarm sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14549,warning,yellow,the yellow sign is a form of warning to the workers.,category-exemplar-pairs,fillin
14550,warning,danger,the danger sign is a form of warning to the workers,category-exemplar-pairs,fillin
14551,warning,picket,the picket sign is a form of warning to the workers,category-exemplar-pairs,fillin
14552,warning,stop,the stop sign is a form of warning to the workers,category-exemplar-pairs,fillin
14553,warning,red,the red sign is a form of warning to the workers,category-exemplar-pairs,fillin
14554,warning,alarm,the alarm sign is a form of warning to the workers,category-exemplar-pairs,fillin
14555,warning,threat,the threat sign is a form of warning to the workers,category-exemplar-pairs,fillin
14556,warning,hand,the hand sign is a form of warning to the workers,category-exemplar-pairs,fillin
14557,warning,social,the social sign is a form of warning to the workers,category-exemplar-pairs,fillin
14558,weight,body,weight is the important part of the body,partof,fillin
14559,weight,game,weight is the important part of the game,partof,fillin
14560,weight,design,weight is the important part of the design,partof,fillin
14561,weight,diet,weight is the important part of the diet,partof,fillin
14562,weight,strength,weight is the important part of the strength,partof,fillin
14563,weight,system,weight is the important part of the system,partof,fillin
14564,weight,equation,weight is the important part of the equation,partof,fillin
14565,weight,relationship,weight is the important part of the relationship,partof,fillin
14566,weight,object,weight is the important part of the object,partof,fillin
14567,weight,relation,weight is the important part of the relation,partof,fillin
14568,weight,measure,weight is the important part of the measure,partof,fillin
14569,weight,number,weight is the important part of the number,partof,fillin
14570,weight,measurement,weight is the important part of the measurement,partof,fillin
14571,weight,property,weight is the important part of the property,partof,fillin
14572,weight,weight,weight is also defined as the weight,synonym,fillin
14573,weight,height,height is also defined as the weight,synonym,fillin
14574,weight,length,length is also defined as the weight,synonym,fillin
14575,wheel,control,the wheel was out of control.,hasproperty,fillin
14576,wheel,balance,the wheel was out of balance.,hasproperty,fillin
14577,wheel,tune,the wheel was out of tune.,hasproperty,fillin
14578,wheel,sight,the wheel was out of sight.,hasproperty,fillin
14579,wheel,reach,the wheel was out of reach.,hasproperty,fillin
14580,wheel,gear,the wheel was out of gear.,hasproperty,fillin
14581,wheel,gas,the wheel was out of gas.,hasproperty,fillin
14582,wheel,focus,the wheel was out of focus.,hasproperty,fillin
14583,wheel,commission,the wheel was out of commission.,hasproperty,fillin
14584,wheel,shape,the wheel was out of shape.,hasproperty,fillin
14585,wheel,date,the wheel was out of date,hasproperty,fillin
14586,wheel,use,the wheel was out of use,hasproperty,fillin
14587,wheel,bounds,the wheel was out of bounds,hasproperty,fillin
14588,wheel,control,the wheel was out of control,hasproperty,fillin
14589,wheel,service,the wheel was out of service,hasproperty,fillin
14590,wheel,commission,the wheel was out of commission,hasproperty,fillin
14591,wheel,order,the wheel was out of order,hasproperty,fillin
14592,wheel,sight,the wheel was out of sight,hasproperty,fillin
14593,wheel,state,the wheel was out of state,hasproperty,fillin
14594,wheel,place,the wheel was out of place,hasproperty,fillin
14595,wheel,mechanical,a wheel is some kind of mechanical device that rotates.,hasproperty,fillin
14596,wheel,electrical,a wheel is some kind of electrical device that rotates.,hasproperty,fillin
14597,wheel,electronic,a wheel is some kind of electronic device that rotates.,hasproperty,fillin
14598,wheel,technological,a wheel is some kind of technological device that rotates.,hasproperty,fillin
14599,wheel,physical,a wheel is some kind of physical device that rotates.,hasproperty,fillin
14600,wheel,metal,a wheel is some kind of metal device that rotates.,hasproperty,fillin
14601,wheel,transportation,a wheel is some kind of transportation device that rotates.,hasproperty,fillin
14602,wheel,electric,a wheel is some kind of electric device that rotates.,hasproperty,fillin
14603,wheel,measuring,a wheel is some kind of measuring device that rotates.,hasproperty,fillin
14604,wheel,fixed,a wheel is some kind of fixed device that rotates.,hasproperty,fillin
14605,wheel,mechanical,a wheel is some kind of mechanical device that rotates,hasproperty,fillin
14606,wheel,physical,a wheel is some kind of physical device that rotates,hasproperty,fillin
14607,wheel,electrical,a wheel is some kind of electrical device that rotates,hasproperty,fillin
14608,wheel,electronic,a wheel is some kind of electronic device that rotates,hasproperty,fillin
14609,wheel,technological,a wheel is some kind of technological device that rotates,hasproperty,fillin
14610,wheel,mathematical,a wheel is some kind of mathematical device that rotates,hasproperty,fillin
14611,wheel,fixed,a wheel is some kind of fixed device that rotates,hasproperty,fillin
14612,wheel,material,a wheel is some kind of material device that rotates,hasproperty,fillin
14613,wheel,geometric,a wheel is some kind of geometric device that rotates,hasproperty,fillin
14614,wheel,hardware,a wheel is some kind of hardware device that rotates,hasproperty,fillin
14615,worse,better,the opposite end of the spectrum from worse is better.,antonym,fillin
14616,worse,good,the opposite end of the spectrum from worse is good.,antonym,fillin
14617,worse,bad,the opposite end of the spectrum from worse is bad.,antonym,fillin
14618,worse,best,the opposite end of the spectrum from worse is best.,antonym,fillin
14619,worse,worst,the opposite end of the spectrum from worse is worst.,antonym,fillin
14620,worse,hell,the opposite end of the spectrum from worse is hell.,antonym,fillin
14621,worse,wrong,the opposite end of the spectrum from worse is wrong.,antonym,fillin
14622,worse,great,the opposite end of the spectrum from worse is great.,antonym,fillin
14623,worse,unknown,the opposite end of the spectrum from worse is unknown.,antonym,fillin
14624,worse,better,the opposite end of the spectrum from worse is better,antonym,fillin
14625,worse,positive,the opposite end of the spectrum from worse is positive,antonym,fillin
14626,worse,good,the opposite end of the spectrum from worse is good,antonym,fillin
14627,worse,bad,the opposite end of the spectrum from worse is bad,antonym,fillin
14628,worse,stronger,the opposite end of the spectrum from worse is stronger,antonym,fillin
14629,worse,negative,the opposite end of the spectrum from worse is negative,antonym,fillin
14630,worse,superior,the opposite end of the spectrum from worse is superior,antonym,fillin
14631,worse,darker,the opposite end of the spectrum from worse is darker,antonym,fillin
14632,worse,higher,the opposite end of the spectrum from worse is higher,antonym,fillin
14633,wound,cut,a large cut is a type of wound.,category-exemplar-pairs,fillin
14634,wound,hole,a large hole is a type of wound.,category-exemplar-pairs,fillin
14635,wound,bleed,a large bleed is a type of wound.,category-exemplar-pairs,fillin
14636,wound,scar,a large scar is a type of wound.,category-exemplar-pairs,fillin
14637,wound,slash,a large slash is a type of wound.,category-exemplar-pairs,fillin
14638,wound,bite,a large bite is a type of wound.,category-exemplar-pairs,fillin
14639,wound,burn,a large burn is a type of wound.,category-exemplar-pairs,fillin
14640,wound,bruise,a large bruise is a type of wound.,category-exemplar-pairs,fillin
14641,wound,knife,a large knife is a type of wound.,category-exemplar-pairs,fillin
14642,wound,cut,a large cut is a type of wound,category-exemplar-pairs,fillin
14643,wound,hole,a large hole is a type of wound,category-exemplar-pairs,fillin
14644,wound,scar,a large scar is a type of wound,category-exemplar-pairs,fillin
14645,wound,injury,a large injury is a type of wound,category-exemplar-pairs,fillin
14646,wound,bruise,a large bruise is a type of wound,category-exemplar-pairs,fillin
14647,wound,bite,a large bite is a type of wound,category-exemplar-pairs,fillin
14648,wound,tear,a large tear is a type of wound,category-exemplar-pairs,fillin
14649,wound,knot,a large knot is a type of wound,category-exemplar-pairs,fillin
14650,wound,stain,a large stain is a type of wound,category-exemplar-pairs,fillin
14651,writer,person,a writer is a type of person.,category-exemplar-pairs,fillin
14652,writer,artist,a writer is a type of artist.,category-exemplar-pairs,fillin
14653,writer,musician,a writer is a type of musician.,category-exemplar-pairs,fillin
14654,writer,author,a writer is a type of author.,category-exemplar-pairs,fillin
14655,writer,journalist,a writer is a type of journalist.,category-exemplar-pairs,fillin
14656,writer,man,a writer is a type of man.,category-exemplar-pairs,fillin
14657,writer,individual,a writer is a type of individual.,category-exemplar-pairs,fillin
14658,writer,lawyer,a writer is a type of lawyer.,category-exemplar-pairs,fillin
14659,writer,human,a writer is a type of human.,category-exemplar-pairs,fillin
14660,writer,person,a writer is a type of person,category-exemplar-pairs,fillin
14661,writer,author,a writer is a type of author,category-exemplar-pairs,fillin
14662,writer,agent,a writer is a type of agent,category-exemplar-pairs,fillin
14663,writer,actor,a writer is a type of actor,category-exemplar-pairs,fillin
14664,writer,reader,a writer is a type of reader,category-exemplar-pairs,fillin
14665,writer,object,a writer is a type of object,category-exemplar-pairs,fillin
14666,writer,subject,a writer is a type of subject,category-exemplar-pairs,fillin
14667,writer,language,a writer is a type of language,category-exemplar-pairs,fillin
14668,writer,editor,a writer is a type of editor,category-exemplar-pairs,fillin
14669,yesterday,today,yesterday is the opposite of today.,antonym,fillin
14670,yesterday,tomorrow,yesterday is the opposite of tomorrow.,antonym,fillin
14671,yesterday,sunday,yesterday is the opposite of sunday.,antonym,fillin
14672,yesterday,morning,yesterday is the opposite of morning.,antonym,fillin
14673,yesterday,friday,yesterday is the opposite of friday.,antonym,fillin
14674,yesterday,monday,yesterday is the opposite of monday.,antonym,fillin
14675,yesterday,tuesday,yesterday is the opposite of tuesday.,antonym,fillin
14676,yesterday,saturday,yesterday is the opposite of saturday.,antonym,fillin
14677,yesterday,tonight,yesterday is the opposite of tonight.,antonym,fillin
14678,yesterday,thursday,yesterday is the opposite of thursday,antonym,fillin
14679,yesterday,monday,yesterday is the opposite of monday,antonym,fillin
14680,yesterday,friday,yesterday is the opposite of friday,antonym,fillin
14681,yesterday,morning,yesterday is the opposite of morning,antonym,fillin
14682,yesterday,sunday,yesterday is the opposite of sunday,antonym,fillin
14683,yesterday,wednesday,yesterday is the opposite of wednesday,antonym,fillin
14684,yesterday,saturday,yesterday is the opposite of saturday,antonym,fillin
14685,yesterday,tuesday,yesterday is the opposite of tuesday,antonym,fillin
14686,yesterday,tomorrow,yesterday is the opposite of tomorrow,antonym,fillin
14687,young,old,both young and old are invited.,antonym,fillin
14688,young,older,both young and older are invited.,antonym,fillin
14689,young,experienced,both young and experienced are invited.,antonym,fillin
14690,young,established,both young and established are invited.,antonym,fillin
14691,young,elderly,both young and elderly are invited.,antonym,fillin
14692,young,veteran,both young and veteran are invited.,antonym,fillin
14693,young,adult,both young and adult are invited.,antonym,fillin
14694,young,retired,both young and retired are invited.,antonym,fillin
14695,young,mature,both young and mature are invited.,antonym,fillin
14696,young,old,both young and old are invited,antonym,fillin
14697,young,older,both young and older are invited,antonym,fillin
14698,young,adult,both young and adult are invited,antonym,fillin
14699,young,elderly,both young and elderly are invited,antonym,fillin
14700,young,mature,both young and mature are invited,antonym,fillin
14701,young,experienced,both young and experienced are invited,antonym,fillin
14702,young,aged,both young and aged are invited,antonym,fillin
14703,young,new,both young and new are invited,antonym,fillin
14704,young,strong,both young and strong are invited,antonym,fillin
14705,young,old,the opposite of being young is being old.,antonym,fillin
14706,young,strong,the opposite of being young is being strong.,antonym,fillin
14707,young,stupid,the opposite of being young is being stupid.,antonym,fillin
14708,young,happy,the opposite of being young is being happy.,antonym,fillin
14709,young,inexperienced,the opposite of being young is being inexperienced.,antonym,fillin
14710,young,smart,the opposite of being young is being smart.,antonym,fillin
14711,young,beautiful,the opposite of being young is being beautiful.,antonym,fillin
14712,young,scared,the opposite of being young is being scared.,antonym,fillin
14713,young,mature,the opposite of being young is being mature.,antonym,fillin
14714,young,old,the opposite of being young is being old,antonym,fillin
14715,young,strong,the opposite of being young is being strong,antonym,fillin
14716,young,older,the opposite of being young is being older,antonym,fillin
14717,young,mature,the opposite of being young is being mature,antonym,fillin
14718,young,beautiful,the opposite of being young is being beautiful,antonym,fillin
14719,young,stupid,the opposite of being young is being stupid,antonym,fillin
14720,young,healthy,the opposite of being young is being healthy,antonym,fillin
14721,young,poor,the opposite of being young is being poor,antonym,fillin
14722,young,pretty,the opposite of being young is being pretty,antonym,fillin
14723,adore,love,to adore a person is to love a person,synonym,fillin
14724,adore,admire,to adore a person is to admire a person,synonym,fillin
14725,adore,worship,to adore a person is to worship a person,synonym,fillin
14726,adore,hate,to adore a person is to hate a person,synonym,fillin
14727,adore,respect,to adore a person is to respect a person,synonym,fillin
14728,adore,honor,to adore a person is to honor a person,synonym,fillin
14729,adore,like,to adore a person is to like a person,synonym,fillin
14730,adore,praise,to adore a person is to praise a person,synonym,fillin
14731,adore,know,to adore a person is to know a person,synonym,fillin
14732,adore,fear,to adore a person is to fear a person,synonym,fillin
14733,adore,dislike,to adore a person is to dislike a person,synonym,fillin
14734,adore,love,"when you love something, you also adore it.",synonym,fillin
14735,adore,like,"when you like something, you also adore it.",synonym,fillin
14736,adore,want,"when you want something, you also adore it.",synonym,fillin
14737,adore,hate,"when you hate something, you also adore it.",synonym,fillin
14738,adore,admire,"when you admire something, you also adore it.",synonym,fillin
14739,adore,know,"when you know something, you also adore it.",synonym,fillin
14740,adore,find,"when you find something, you also adore it.",synonym,fillin
14741,adore,need,"when you need something, you also adore it.",synonym,fillin
14742,adore,love,"when you love something, you also adore it",synonym,fillin
14743,adore,like,"when you like something, you also adore it",synonym,fillin
14744,adore,hate,"when you hate something, you also adore it",synonym,fillin
14745,adore,admire,"when you admire something, you also adore it",synonym,fillin
14746,adore,want,"when you want something, you also adore it",synonym,fillin
14747,adore,value,"when you value something, you also adore it",synonym,fillin
14748,adore,know,"when you know something, you also adore it",synonym,fillin
14749,adore,desire,"when you desire something, you also adore it",synonym,fillin
14750,advantage,power,"when you have an advantage, you have more power than others.",result-in,fillin
14751,advantage,resources,"when you have an advantage, you have more resources than others.",result-in,fillin
14752,advantage,control,"when you have an advantage, you have more control than others.",result-in,fillin
14753,advantage,advantages,"when you have an advantage, you have more advantages than others.",result-in,fillin
14754,advantage,opportunities,"when you have an advantage, you have more opportunities than others.",result-in,fillin
14755,advantage,money,"when you have an advantage, you have more money than others.",result-in,fillin
14756,advantage,information,"when you have an advantage, you have more information than others.",result-in,fillin
14757,advantage,freedom,"when you have an advantage, you have more freedom than others.",result-in,fillin
14758,advantage,time,"when you have an advantage, you have more time than others.",result-in,fillin
14759,advantage,resources,"when you have an advantage, you have more resources than others",result-in,fillin
14760,advantage,power,"when you have an advantage, you have more power than others",result-in,fillin
14761,advantage,information,"when you have an advantage, you have more information than others",result-in,fillin
14762,advantage,votes,"when you have an advantage, you have more votes than others",result-in,fillin
14763,advantage,advantages,"when you have an advantage, you have more advantages than others",result-in,fillin
14764,advantage,opportunities,"when you have an advantage, you have more opportunities than others",result-in,fillin
14765,advantage,influence,"when you have an advantage, you have more influence than others",result-in,fillin
14766,advantage,benefits,"when you have an advantage, you have more benefits than others",result-in,fillin
14767,advantage,money,"when you have an advantage, you have more money than others",result-in,fillin
14768,bedrooms,bed,bedrooms have a bed for you to sleep in.,location,fillin
14769,bedrooms,room,bedrooms have a room for you to sleep in.,location,fillin
14770,bedrooms,closet,bedrooms have a closet for you to sleep in.,location,fillin
14771,bedrooms,fireplace,bedrooms have a fireplace for you to sleep in.,location,fillin
14772,bedrooms,mattress,bedrooms have a mattress for you to sleep in.,location,fillin
14773,bedrooms,bedroom,bedrooms have a bedroom for you to sleep in.,location,fillin
14774,bedrooms,couch,bedrooms have a couch for you to sleep in.,location,fillin
14775,bedrooms,bathroom,bedrooms have a bathroom for you to sleep in.,location,fillin
14776,bedrooms,window,bedrooms have a window for you to sleep in.,location,fillin
14777,bedrooms,bath,bedrooms have a bath for you to sleep in.,location,fillin
14778,bedrooms,bed,bedrooms have a bed for you to sleep in,location,fillin
14779,bedrooms,room,bedrooms have a room for you to sleep in,location,fillin
14780,bedrooms,space,bedrooms have a space for you to sleep in,location,fillin
14781,bedrooms,place,bedrooms have a place for you to sleep in,location,fillin
14782,bedrooms,spot,bedrooms have a spot for you to sleep in,location,fillin
14783,bedrooms,window,bedrooms have a window for you to sleep in,location,fillin
14784,bedrooms,door,bedrooms have a door for you to sleep in,location,fillin
14785,bedrooms,bedroom,bedrooms have a bedroom for you to sleep in,location,fillin
14786,bedrooms,closet,bedrooms have a closet for you to sleep in,location,fillin
14787,bedrooms,hole,bedrooms have a hole for you to sleep in,location,fillin
14788,bedroom,rack,he took his shirt from the rack in the bedroom,location,fillin
14789,bedroom,hook,he took his shirt from the hook in the bedroom,location,fillin
14790,bedroom,drawer,he took his shirt from the drawer in the bedroom,location,fillin
14791,bedroom,closet,he took his shirt from the closet in the bedroom,location,fillin
14792,bedroom,hooks,he took his shirt from the hooks in the bedroom,location,fillin
14793,bedroom,shelf,he took his shirt from the shelf in the bedroom,location,fillin
14794,bedroom,chair,he took his shirt from the chair in the bedroom,location,fillin
14795,bedroom,pile,he took his shirt from the pile in the bedroom,location,fillin
14796,bedroom,dresser,he took his shirt from the dresser in the bedroom,location,fillin
14797,bedroom,box,he took his shirt from the box in the bedroom,location,fillin
14798,bedroom,floor,he took his shirt from the floor in the bedroom,location,fillin
14799,bedroom,bed,you will usually find a bed in a bedroom.,location,fillin
14800,bedroom,room,you will usually find a room in a bedroom.,location,fillin
14801,bedroom,door,you will usually find a door in a bedroom.,location,fillin
14802,bedroom,bathroom,you will usually find a bathroom in a bedroom.,location,fillin
14803,bedroom,phone,you will usually find a phone in a bedroom.,location,fillin
14804,bedroom,key,you will usually find a key in a bedroom.,location,fillin
14805,bedroom,mirror,you will usually find a mirror in a bedroom.,location,fillin
14806,bedroom,closet,you will usually find a closet in a bedroom.,location,fillin
14807,bedroom,book,you will usually find a book in a bedroom.,location,fillin
14808,bedroom,person,you will usually find a person in a bedroom,location,fillin
14809,bedroom,couple,you will usually find a couple in a bedroom,location,fillin
14810,bedroom,pair,you will usually find a pair in a bedroom,location,fillin
14811,bedroom,woman,you will usually find a woman in a bedroom,location,fillin
14812,bedroom,man,you will usually find a man in a bedroom,location,fillin
14813,bedroom,cat,you will usually find a cat in a bedroom,location,fillin
14814,bedroom,partner,you will usually find a partner in a bedroom,location,fillin
14815,bedroom,friend,you will usually find a friend in a bedroom,location,fillin
14816,bedroom,child,you will usually find a child in a bedroom,location,fillin
14817,bedroom,ghost,you will usually find a ghost in a bedroom,location,fillin
14818,bicycles,gear,bicycles usually have more than one gear to operate,partof,fillin
14819,bicycles,wheel,bicycles usually have more than one wheel to operate,partof,fillin
14820,bicycles,engine,bicycles usually have more than one engine to operate,partof,fillin
14821,bicycles,pedal,bicycles usually have more than one pedal to operate,partof,fillin
14822,bicycles,motor,bicycles usually have more than one motor to operate,partof,fillin
14823,bicycles,way,bicycles usually have more than one way to operate,partof,fillin
14824,bicycles,rider,bicycles usually have more than one rider to operate,partof,fillin
14825,bicycles,driver,bicycles usually have more than one driver to operate,partof,fillin
14826,bicycles,lane,bicycles usually have more than one lane to operate,partof,fillin
14827,bicycles,person,bicycles usually have more than one person to operate,partof,fillin
14828,bicycles,partner,bicycles usually have more than one partner to operate,partof,fillin
14829,bicycles,owner,bicycles usually have more than one owner to operate,partof,fillin
14830,bicycles,parent,bicycles usually have more than one parent to operate,partof,fillin
14831,bicycles,reason,bicycles usually have more than one reason to operate,partof,fillin
14832,bicycles,vehicle,bicycles usually have more than one vehicle to operate,partof,fillin
14833,bicycles,purpose,bicycles usually have more than one purpose to operate,partof,fillin
14834,bicycles,member,bicycles usually have more than one member to operate,partof,fillin
14835,blender,tools,a blender has tools to help chop up things and mix them.,partof,fillin
14836,blender,handles,a blender has handles to help chop up things and mix them.,partof,fillin
14837,blender,parts,a blender has parts to help chop up things and mix them.,partof,fillin
14838,blender,equipment,a blender has equipment to help chop up things and mix them.,partof,fillin
14839,blender,machines,a blender has machines to help chop up things and mix them.,partof,fillin
14840,blender,hooks,a blender has hooks to help chop up things and mix them.,partof,fillin
14841,blender,software,a blender has software to help chop up things and mix them.,partof,fillin
14842,blender,filters,a blender has filters to help chop up things and mix them.,partof,fillin
14843,blender,tools,a blender has tools to help chop up things and mix them,partof,fillin
14844,blender,parts,a blender has parts to help chop up things and mix them,partof,fillin
14845,blender,software,a blender has software to help chop up things and mix them,partof,fillin
14846,blender,handles,a blender has handles to help chop up things and mix them,partof,fillin
14847,blender,people,a blender has people to help chop up things and mix them,partof,fillin
14848,blender,equipment,a blender has equipment to help chop up things and mix them,partof,fillin
14849,blender,machines,a blender has machines to help chop up things and mix them,partof,fillin
14850,blender,teeth,a blender usually has 4 moderately sharp teeth,partof,fillin
14851,blender,edges,a blender usually has 4 moderately sharp edges,partof,fillin
14852,blender,blades,a blender usually has 4 moderately sharp blades,partof,fillin
